0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,percentage_closed_lane,percentage_opened_lane,dow,hour,mins,position,direction,duration_level
69,63,65,67,67,71,73,70,74,72,71,69,66,65,70,71,69,68,72,75,73,74,68,66,66,69,70,69,68,72,72,70,69,68,70,73,71,72,72,75,77,73,70,73,73,70,71,74,0,100,Tuesday,7,0,0,NORTHBOUND,0
73,71,68,68,68,71,71,69,67,65,67,66,66,66,68,67,69,69,70,70,67,68,68,64,70,66,65,64,65,65,66,68,68,67,68,67,66,67,66,66,68,66,66,69,69,66,64,69,50,50,Wednesday,9,55,AT,NORTHBOUND,1
71,70,70,68,69,70,67,66,66,68,69,67,66,67,70,66,67,68,69,68,66,67,68,68,68,70,63,63,65,65,66,65,65,63,64,66,64,65,65,67,70,68,65,65,67,66,66,65,0,100,Wednesday,9,55,0,NORTHBOUND,1
72,73,74,71,70,72,70,68,69,70,70,69,69,68,70,68,70,70,70,69,68,69,71,68,70,69,67,67,68,67,67,67,67,66,67,68,65,65,68,69,69,68,66,67,70,70,70,66,0,100,Wednesday,9,55,0,NORTHBOUND,1
66,68,67,69,69,70,70,67,68,68,64,70,66,65,64,65,65,66,68,68,67,68,67,66,67,66,66,68,66,66,69,69,66,64,69,68,67,68,68,67,67,67,66,69,71,65,67,68,50,50,Wednesday,9,55,AT,NORTHBOUND,1
67,70,66,67,68,69,68,66,67,68,68,68,70,63,63,65,65,66,65,65,63,64,66,64,65,65,67,70,68,65,65,67,66,66,65,69,68,66,66,67,66,66,67,67,68,63,65,67,0,100,Wednesday,9,55,0,NORTHBOUND,1
68,70,68,70,70,70,69,68,69,71,68,70,69,67,67,68,67,67,67,67,66,67,68,65,65,68,69,69,68,66,67,70,70,70,66,70,67,67,68,69,70,69,69,70,68,70,67,70,0,100,Wednesday,9,55,0,NORTHBOUND,1
72,70,67,67,68,70,71,69,73,73,68,68,66,66,70,71,70,68,67,69,70,68,71,70,70,71,71,69,67,67,67,70,69,69,70,70,69,70,68,66,67,66,66,68,68,69,70,70,0,100,Monday,9,15,AT,NORTHBOUND,0
73,69,67,67,69,71,71,69,71,71,68,69,69,67,69,73,71,69,68,69,69,71,71,72,71,69,69,68,67,66,66,68,68,68,68,69,68,67,67,68,70,69,67,65,66,66,66,66,0,100,Monday,9,15,0,NORTHBOUND,0
74,72,71,68,70,75,74,71,73,73,70,69,70,69,71,77,74,72,73,73,73,72,74,75,74,70,69,69,70,71,72,69,71,70,69,72,71,69,68,68,69,69,72,68,68,67,69,68,0,100,Monday,9,15,0,NORTHBOUND,0
66,66,65,68,69,71,70,62,62,60,64,64,65,69,67,66,67,68,68,68,62,66,67,67,68,69,70,68,67,70,72,71,68,67,69,70,72,75,75,71,70,71,70,70,70,69,68,66,25,75,Wednesday,6,35,AT,NORTHBOUND,2
69,67,66,68,69,70,68,60,69,69,66,64,66,66,66,67,67,67,68,70,66,71,71,67,64,67,70,68,65,65,65,72,68,70,71,69,71,75,75,70,69,70,67,68,70,70,69,67,0,100,Wednesday,6,35,0,NORTHBOUND,2
68,68,69,70,69,72,67,62,74,75,69,65,72,71,68,70,69,68,69,70,68,71,72,70,68,69,72,73,71,66,65,72,72,72,71,68,71,77,78,72,70,68,67,71,73,71,70,69,0,100,Wednesday,6,35,0,NORTHBOUND,2
71,72,72,71,69,71,70,72,72,73,70,70,71,72,71,70,70,70,69,73,72,70,69,70,70,70,71,70,69,69,69,70,69,70,70,70,70,69,69,68,69,68,67,68,69,69,66,68,0,100,Saturday,17,30,TO,NORTHBOUND,3
69,70,70,70,70,72,70,70,70,69,68,67,70,70,69,69,70,70,69,70,71,70,69,69,69,68,69,70,70,68,70,69,69,69,68,67,67,68,69,70,70,68,69,65,68,67,68,67,0,100,Saturday,17,30,0,NORTHBOUND,3
74,73,71,70,70,72,73,76,72,73,72,71,71,73,72,70,70,71,72,73,71,69,72,73,72,72,72,72,75,75,70,69,71,72,71,71,72,71,70,70,71,70,73,69,72,73,72,68,0,100,Saturday,17,30,0,NORTHBOUND,3
71,69,69,69,68,68,70,66,69,70,70,72,72,69,71,73,71,68,70,72,68,68,67,69,69,69,70,69,71,71,71,75,69,71,72,69,70,70,68,68,69,68,67,66,69,65,65,66,0,100,Wednesday,8,25,AT,NORTHBOUND,0
71,70,68,69,72,73,70,65,67,70,66,68,70,70,72,70,66,69,70,71,69,66,70,67,68,70,69,71,70,68,70,75,70,69,71,70,70,69,70,71,70,67,64,64,64,66,67,68,0,100,Wednesday,8,25,0,NORTHBOUND,0
71,71,71,69,71,76,71,71,70,70,69,72,70,72,75,74,73,76,74,73,72,71,70,69,71,74,71,71,69,69,70,74,71,73,73,72,73,73,72,71,70,71,69,71,72,68,70,72,0,100,Wednesday,8,25,0,NORTHBOUND,0
70,70,71,69,68,67,69,71,70,70,70,70,70,69,69,69,71,69,69,71,72,71,72,71,69,72,72,72,71,71,72,72,72,72,69,71,72,73,73,71,70,71,72,71,72,71,73,71,0,100,Wednesday,15,35,AT,NORTHBOUND,0
68,69,69,67,65,67,66,67,68,70,70,70,69,68,68,70,71,69,67,69,71,71,71,70,69,71,70,73,69,70,73,70,69,68,67,70,70,69,72,73,69,67,68,71,69,70,70,68,0,100,Wednesday,15,35,0,NORTHBOUND,0
71,70,68,72,73,70,69,72,72,70,71,71,71,71,73,74,72,71,70,71,72,72,71,71,71,72,70,73,71,74,74,71,71,73,71,71,73,72,71,71,71,70,72,74,72,74,73,73,0,100,Wednesday,15,35,0,NORTHBOUND,0
67,67,69,69,67,66,66,68,66,64,62,65,68,69,65,66,71,69,67,68,64,67,69,70,69,68,67,70,66,75,70,67,67,67,69,68,69,70,69,69,70,71,70,71,69,70,68,66,25,75,Monday,7,30,AT,NORTHBOUND,1
68,68,71,68,67,67,66,67,67,65,65,67,67,64,64,63,70,72,67,69,68,67,68,69,68,65,67,71,68,69,68,69,70,68,72,71,69,71,69,67,69,70,69,68,70,70,69,67,0,100,Monday,7,30,0,NORTHBOUND,1
68,69,70,67,65,66,66,68,66,65,68,69,69,68,68,66,72,73,69,70,70,69,71,74,74,68,70,75,72,69,70,71,72,71,72,73,71,70,71,72,72,71,71,69,67,72,73,73,0,100,Monday,7,30,0,NORTHBOUND,1
64,65,63,63,64,63,63,64,63,62,61,62,48,35,29,26,34,47,50,47,44,46,47,58,58,59,59,53,48,57,59,57,46,29,23,21,18,17,18,19,20,21,26,23,39,64,66,68,0,100,Tuesday,18,35,0,NORTHBOUND,2
66,66,66,65,66,65,65,66,65,65,60,55,52,40,31,29,26,32,37,37,32,35,39,33,43,48,51,47,39,31,40,43,38,29,24,23,21,20,19,19,22,23,22,27,42,70,70,71,0,100,Tuesday,18,35,0,NORTHBOUND,2
66,65,66,66,65,65,66,65,64,62,55,47,46,44,36,26,23,22,24,27,29,26,25,26,26,27,33,36,33,29,24,22,24,25,22,19,19,20,22,23,24,33,50,65,70,68,66,67,0,100,Tuesday,18,35,0,NORTHBOUND,2
66,64,66,66,65,65,68,69,66,62,65,67,67,69,71,70,67,67,67,67,66,67,67,64,67,71,70,69,66,64,67,70,72,72,73,74,69,69,72,72,70,74,67,68,71,69,68,68,25,75,Wednesday,6,40,BEFORE,NORTHBOUND,1
68,66,66,67,68,67,69,70,68,68,69,69,70,73,72,72,68,72,71,69,69,70,69,67,70,73,72,73,70,67,68,69,70,74,74,75,76,74,73,72,70,70,70,70,73,74,71,71,0,100,Wednesday,6,40,0,NORTHBOUND,1
66,66,66,66,67,68,69,70,67,67,68,68,70,73,73,69,69,70,69,65,66,68,66,66,69,71,69,69,67,68,67,70,70,75,73,72,71,74,74,72,72,69,72,70,69,70,71,69,0,100,Wednesday,6,40,0,NORTHBOUND,1
60,59,59,58,59,58,52,49,51,57,60,59,58,56,52,51,53,53,55,55,55,56,57,57,58,56,57,56,57,55,56,53,57,60,60,59,58,58,59,59,57,57,56,57,56,55,56,57,20,80,Monday,12,25,BEFORE,NORTHBOUND,0
63,64,65,63,64,59,55,55,57,60,62,60,63,62,53,50,56,58,57,58,59,60,60,57,58,62,59,59,58,60,57,59,54,60,63,60,58,59,61,61,61,62,61,60,57,58,61,59,0,100,Monday,12,25,0,NORTHBOUND,0
61,60,58,58,59,55,52,54,57,58,58,60,61,61,56,50,53,55,56,57,58,59,57,56,55,59,56,60,57,58,58,58,57,59,59,58,57,58,61,61,60,60,59,59,60,60,60,59,0,100,Monday,12,25,0,NORTHBOUND,0
66,64,59,61,62,62,65,60,61,64,64,61,64,70,66,67,64,66,68,68,68,69,70,69,69,65,65,68,71,70,66,66,66,64,65,65,66,64,61,64,64,62,62,62,64,61,57,58,0,100,Saturday,10,10,TO,NORTHBOUND,1
66,62,60,63,64,66,68,63,64,65,66,63,68,72,69,70,68,72,71,72,72,72,73,72,69,69,69,74,76,72,70,71,70,69,67,66,69,67,66,67,66,65,63,64,66,65,63,60,0,100,Saturday,10,10,0,NORTHBOUND,1
62,65,64,62,63,66,63,62,63,64,65,63,68,68,67,70,67,68,68,69,69,71,73,71,68,71,72,74,73,72,71,70,69,68,65,63,64,62,64,63,63,65,63,61,63,62,61,62,0,100,Saturday,10,10,0,NORTHBOUND,1
68,68,70,70,68,67,70,70,69,68,70,67,67,68,71,72,69,68,68,67,68,71,73,72,68,70,71,70,72,72,71,67,64,69,68,69,69,70,69,69,70,68,67,67,67,71,72,68,25,75,Wednesday,7,20,BEFORE,NORTHBOUND,0
68,71,73,69,70,71,71,74,74,69,73,68,70,69,70,74,71,71,72,74,76,71,70,73,72,72,75,74,71,71,71,71,71,73,72,71,71,73,71,70,72,73,68,69,70,71,71,72,0,100,Wednesday,7,20,0,NORTHBOUND,0
66,69,71,70,70,70,69,70,69,69,72,66,68,69,66,72,71,71,70,71,72,71,68,68,69,69,71,71,71,71,71,68,68,70,68,69,70,69,69,69,70,70,69,69,71,71,66,74,0,100,Wednesday,7,20,0,NORTHBOUND,0
65,68,71,71,67,65,63,64,64,66,68,69,71,70,68,70,71,67,64,65,68,70,72,72,75,71,67,68,67,68,69,68,68,67,76,69,67,68,68,68,67,67,67,67,72,72,70,69,50,50,Monday,7,5,BEFORE,NORTHBOUND,1
69,70,72,72,66,66,66,66,68,69,70,70,70,71,70,72,74,70,68,68,69,71,73,73,73,71,69,71,73,74,69,68,71,69,71,72,70,70,71,71,72,72,70,71,72,72,73,73,0,100,Monday,7,5,0,NORTHBOUND,1
66,68,70,69,64,66,64,66,69,68,68,69,69,69,69,69,70,69,67,70,67,68,70,72,73,73,71,68,73,71,69,68,69,66,70,71,70,71,71,71,72,70,70,71,73,72,73,73,0,100,Monday,7,5,0,NORTHBOUND,1
61,68,73,70,64,63,67,68,69,69,69,68,69,70,71,71,70,69,69,68,71,72,69,68,65,65,67,68,70,70,67,67,71,69,69,71,73,69,69,66,69,67,68,69,69,69,68,67,25,75,Sunday,7,45,BEFORE,NORTHBOUND,1
69,68,72,69,64,64,68,69,70,70,70,71,72,74,74,73,71,69,71,71,73,74,70,68,69,70,74,73,74,73,72,73,73,71,70,72,73,72,72,70,73,70,70,70,71,72,72,72,0,100,Sunday,7,45,0,NORTHBOUND,1
70,68,73,70,66,67,67,69,69,66,68,68,69,72,71,71,72,70,71,71,71,72,70,67,67,68,71,73,72,69,71,75,73,71,70,69,70,71,72,69,73,70,71,70,69,69,70,70,0,100,Sunday,7,45,0,NORTHBOUND,1
73,72,68,71,72,62,69,69,70,76,68,68,69,68,69,68,67,66,69,75,72,71,73,73,72,72,73,69,66,68,71,72,72,69,74,73,70,71,70,74,76,69,67,72,73,70,71,72,20,80,Tuesday,6,40,BEFORE,NORTHBOUND,0
72,69,66,68,67,62,69,70,73,74,67,68,68,67,67,67,66,65,68,74,69,71,73,72,71,72,71,68,68,70,70,71,73,70,71,71,68,68,69,71,71,68,67,69,69,70,70,69,0,100,Tuesday,6,40,0,NORTHBOUND,0
71,70,67,67,65,62,69,63,76,76,67,67,68,68,66,67,67,65,66,65,67,69,70,71,68,69,69,68,68,69,70,69,70,75,74,72,69,66,72,72,69,69,68,68,67,66,68,69,0,100,Tuesday,6,40,0,NORTHBOUND,0
68,69,69,70,71,66,62,66,69,75,78,74,68,65,65,66,67,70,73,69,65,66,68,69,69,71,70,70,72,71,69,71,72,69,74,74,73,72,74,71,69,72,73,73,75,74,73,74,20,80,Sunday,6,35,PAST,NORTHBOUND,2
67,69,69,69,69,65,61,64,67,76,76,71,68,65,64,65,68,68,69,66,65,67,70,70,67,67,68,69,71,71,70,72,72,67,69,70,71,73,73,70,73,71,75,74,73,73,70,69,0,100,Sunday,6,35,0,NORTHBOUND,2
71,70,68,66,67,65,63,69,68,71,73,69,64,64,64,63,67,75,73,65,64,63,70,72,68,68,69,69,69,73,68,68,66,72,70,67,70,73,71,69,67,76,72,71,70,65,70,68,0,100,Sunday,6,35,0,NORTHBOUND,2
72,79,77,66,65,65,68,70,71,70,68,70,66,70,72,70,72,74,69,67,66,62,66,74,74,73,72,72,71,73,71,70,71,71,70,72,73,74,73,69,70,77,70,71,71,71,70,69,0,100,Thursday,7,0,BEFORE,NORTHBOUND,0
71,78,70,68,65,66,69,68,69,69,67,70,67,70,72,68,69,70,68,66,64,63,68,74,73,71,73,70,68,69,71,68,68,70,71,71,70,71,70,70,69,70,70,70,70,70,68,68,0,100,Thursday,7,0,0,NORTHBOUND,0
74,76,71,67,65,64,67,65,63,67,70,67,68,70,67,67,69,70,68,65,64,66,73,75,70,70,71,68,67,69,71,69,67,67,67,68,68,70,69,71,69,67,68,63,62,65,69,69,0,100,Thursday,7,0,0,NORTHBOUND,0
74,74,73,71,71,69,73,72,75,72,74,68,71,76,71,73,75,76,77,76,74,71,70,77,76,73,72,73,75,75,75,75,77,73,73,73,73,74,75,75,74,72,72,72,74,73,75,74,25,75,Saturday,9,55,AT,NORTHBOUND,2
71,72,71,70,72,72,73,70,76,69,77,70,71,75,72,72,73,74,73,74,78,75,76,76,74,72,71,73,74,73,71,71,75,75,73,73,74,74,76,76,72,71,72,72,73,73,77,75,0,100,Saturday,9,55,0,NORTHBOUND,2
70,73,70,69,69,71,66,66,77,69,72,72,71,71,69,72,72,72,70,68,72,73,75,71,68,70,71,71,70,69,73,72,72,69,71,71,71,71,74,74,74,75,72,71,73,71,73,73,0,100,Saturday,9,55,0,NORTHBOUND,2
76,71,67,70,67,63,68,69,68,69,71,67,71,72,72,72,72,69,71,74,72,78,71,68,73,71,68,69,73,73,73,68,66,69,76,72,71,72,71,72,72,70,70,72,72,72,74,73,20,80,Tuesday,7,5,BEFORE,NORTHBOUND,0
73,71,68,70,66,63,67,67,66,68,68,68,71,66,72,76,72,67,69,69,69,74,72,68,74,69,69,69,69,69,71,69,69,69,74,70,73,73,68,73,73,70,69,70,72,71,72,70,0,100,Tuesday,7,5,0,NORTHBOUND,0
72,70,66,68,67,65,65,66,67,67,66,68,67,69,73,75,71,68,71,70,69,70,63,70,71,67,69,71,71,66,70,66,68,69,69,69,73,69,70,71,65,64,64,64,65,65,70,71,0,100,Tuesday,7,5,0,NORTHBOUND,0
71,70,69,70,72,77,74,70,74,72,67,70,70,70,70,70,70,69,68,69,70,68,71,72,68,68,71,70,68,70,71,70,69,68,70,72,73,70,71,69,66,68,69,67,68,68,70,67,40,60,Thursday,10,25,PAST,NORTHBOUND,1
72,72,71,71,72,74,71,70,70,71,72,70,70,69,69,70,68,67,67,66,69,66,61,66,58,62,67,68,67,67,67,67,68,68,66,66,69,69,69,67,66,68,68,66,67,67,68,68,0,100,Thursday,10,25,0,NORTHBOUND,1
69,69,69,68,69,68,70,66,66,66,68,68,68,67,69,65,65,68,66,64,65,65,66,65,67,67,69,65,67,66,65,66,68,67,64,66,68,67,69,62,62,66,66,66,67,67,69,66,0,100,Thursday,10,25,0,NORTHBOUND,1
75,73,74,73,74,68,75,73,73,72,74,72,71,73,73,70,69,73,75,74,73,75,73,72,74,74,72,71,70,70,73,71,71,73,73,73,74,73,73,72,72,72,70,70,72,73,69,70,0,100,Thursday,10,55,BEFORE,NORTHBOUND,2
71,70,71,71,69,71,74,70,69,71,71,71,70,71,70,67,68,70,71,71,70,71,70,70,71,71,71,71,70,68,69,69,70,72,69,70,70,70,70,69,69,69,68,68,69,68,70,69,0,100,Thursday,10,55,0,NORTHBOUND,2
68,68,69,69,69,72,74,71,68,69,71,69,68,69,69,69,68,69,71,70,73,70,68,70,71,69,72,72,69,70,66,66,71,71,69,69,68,69,69,69,71,71,68,69,70,69,68,67,0,100,Thursday,10,55,0,NORTHBOUND,2
67,68,68,69,68,67,71,72,68,71,75,73,74,73,71,73,70,70,69,69,72,72,71,70,70,71,72,72,72,71,70,71,70,68,70,68,67,69,69,68,68,69,68,68,68,69,69,69,20,80,Wednesday,8,40,AT,NORTHBOUND,1
67,68,67,68,68,65,67,71,71,72,72,70,69,69,67,69,67,70,68,66,68,69,68,67,65,64,64,65,66,71,70,63,60,59,61,64,61,64,66,66,67,68,69,69,66,66,66,63,0,100,Wednesday,8,40,0,NORTHBOUND,1
66,69,71,69,67,67,68,69,70,71,68,68,70,70,70,71,70,67,69,67,66,69,68,66,65,62,62,65,65,66,66,59,53,48,49,43,48,58,62,61,64,65,66,67,65,65,67,65,0,100,Wednesday,8,40,0,NORTHBOUND,1
69,71,70,70,69,67,66,70,67,69,68,69,68,68,68,70,70,68,68,68,68,69,72,71,70,71,72,70,70,69,69,70,70,71,69,71,71,68,70,72,70,71,70,69,69,70,70,71,17,83,Monday,22,50,PAST,NORTHBOUND,1
69,70,68,70,69,66,68,74,70,70,68,67,66,65,66,68,68,68,67,66,68,69,70,67,68,70,70,69,69,68,69,67,69,69,66,67,70,68,68,69,68,68,67,67,67,66,68,71,0,100,Monday,22,50,0,NORTHBOUND,1
67,68,68,70,65,64,70,70,65,70,68,68,66,65,65,67,67,66,66,65,65,67,67,67,66,64,67,67,66,66,66,66,68,66,65,65,68,67,65,67,66,66,67,67,67,65,64,64,0,100,Monday,22,50,0,NORTHBOUND,1
67,68,70,73,74,71,71,70,70,69,64,70,68,69,69,70,71,70,73,74,71,73,71,70,67,68,67,70,71,71,71,71,67,63,69,69,68,70,73,74,72,70,71,71,68,68,67,68,17,83,Thursday,8,0,PAST,NORTHBOUND,1
67,69,68,69,71,66,66,67,67,64,63,71,68,67,67,70,70,68,69,69,68,69,73,71,69,72,69,73,70,66,68,68,64,63,68,68,67,67,69,70,69,67,61,53,53,45,57,62,0,100,Thursday,8,0,0,NORTHBOUND,1
68,69,68,71,72,67,69,68,69,61,64,72,72,70,69,70,70,70,70,67,67,71,69,65,67,69,68,71,69,67,67,68,65,60,62,66,68,66,66,66,66,66,64,59,48,35,40,45,0,100,Thursday,8,0,0,NORTHBOUND,1
67,67,68,68,66,62,63,67,70,73,69,67,67,68,67,66,67,69,66,65,67,68,69,69,71,70,68,68,70,74,70,65,69,73,72,69,69,71,71,69,71,71,69,72,69,71,69,71,0,100,Wednesday,6,35,AT,NORTHBOUND,1
67,68,68,68,64,60,62,65,66,66,66,68,68,68,67,69,70,69,67,65,66,67,67,67,68,69,70,72,73,71,70,70,76,72,71,68,68,72,73,69,69,65,67,67,67,68,64,67,0,100,Wednesday,6,35,0,NORTHBOUND,1
66,68,68,69,65,61,62,66,68,67,67,66,66,66,66,66,67,67,67,68,66,66,67,67,67,68,70,73,72,70,70,71,69,73,68,69,69,68,68,72,78,73,68,68,68,67,64,65,0,100,Wednesday,6,35,0,NORTHBOUND,1
73,73,72,71,72,71,71,71,71,72,71,71,71,69,70,71,69,69,72,71,70,70,68,70,71,70,68,70,69,68,68,69,69,70,69,67,69,67,67,68,68,69,71,68,67,67,66,66,0,100,Friday,13,5,BEFORE,NORTHBOUND,1
73,72,69,68,68,66,68,70,70,70,70,71,71,69,67,65,69,67,68,71,71,70,70,69,70,69,69,71,67,65,66,67,67,69,68,70,67,67,68,68,66,68,67,68,68,68,67,68,0,100,Friday,13,5,0,NORTHBOUND,1
71,71,68,66,67,65,66,68,71,71,70,70,72,70,70,69,71,68,68,69,65,61,69,71,68,69,69,71,68,65,65,66,66,67,67,71,64,67,68,65,66,69,68,68,68,65,66,68,0,100,Friday,13,5,0,NORTHBOUND,1
71,71,71,70,71,70,67,68,70,71,71,70,71,70,70,71,71,71,71,70,68,69,69,70,72,69,70,70,70,70,69,69,69,68,68,69,68,70,69,69,69,68,68,69,68,69,68,68,0,100,Thursday,11,40,TO,NORTHBOUND,1
69,71,69,68,69,69,69,68,69,71,70,73,70,68,70,71,69,72,72,69,70,66,66,71,71,69,69,68,69,69,69,71,71,68,69,70,69,68,67,69,70,69,71,70,69,69,69,69,0,100,Thursday,11,40,0,NORTHBOUND,1
68,71,71,70,70,69,69,71,68,69,69,69,70,68,71,73,70,70,70,69,69,67,68,70,68,70,68,68,69,68,67,70,71,69,69,70,69,68,66,67,67,66,67,67,67,70,67,68,0,100,Thursday,11,40,0,NORTHBOUND,1
65,62,68,66,66,66,68,68,67,67,68,65,63,63,66,66,67,61,63,64,67,64,65,69,69,68,67,67,68,68,67,66,67,65,64,65,66,66,60,50,46,59,56,63,62,62,60,59,0,100,Wednesday,15,40,0,NORTHBOUND,2
62,64,65,64,66,65,66,64,63,65,66,65,62,60,63,61,67,65,60,64,64,63,63,63,66,66,65,64,60,56,57,58,56,53,51,55,63,63,57,57,60,56,56,47,44,40,41,45,0,100,Wednesday,15,40,0,NORTHBOUND,2
65,64,67,67,68,67,67,65,65,66,64,65,64,64,63,61,59,60,52,59,63,62,65,67,67,62,61,62,55,49,44,35,28,30,43,58,65,64,62,63,65,65,63,44,39,34,32,32,0,100,Wednesday,15,40,0,NORTHBOUND,2
69,69,73,68,68,66,72,70,67,70,73,71,69,67,76,72,71,70,65,70,68,65,67,68,66,66,68,68,64,71,67,64,67,62,63,67,67,66,67,68,66,64,68,65,67,68,68,66,20,80,Sunday,8,50,PAST,NORTHBOUND,0
68,67,70,71,67,72,71,70,71,70,70,72,70,69,72,70,71,69,65,69,67,65,65,65,65,65,67,68,65,68,63,65,64,64,66,64,65,66,66,66,66,62,63,63,67,68,66,65,0,100,Sunday,8,50,0,NORTHBOUND,0
69,69,69,71,73,69,71,71,71,71,70,69,69,72,73,70,69,68,69,70,68,67,68,65,65,68,69,69,66,69,66,65,63,62,66,63,60,59,64,63,65,62,63,65,69,68,68,67,0,100,Sunday,8,50,0,NORTHBOUND,0
66,69,68,65,65,64,64,67,67,69,65,67,69,67,66,65,66,67,67,65,65,69,68,67,68,65,65,66,68,69,67,67,66,63,64,62,62,62,51,38,28,28,38,40,41,48,51,44,0,100,Wednesday,16,10,0,NORTHBOUND,3
64,66,67,66,65,65,65,64,65,66,64,66,65,62,61,64,63,62,64,65,64,66,67,66,67,65,63,65,67,66,64,64,62,60,58,63,63,63,61,51,36,31,28,38,37,27,22,28,0,100,Wednesday,16,10,0,NORTHBOUND,3
64,64,66,67,65,66,68,66,66,66,67,70,64,66,67,66,64,67,65,67,68,66,66,66,68,68,67,66,67,65,63,62,59,63,61,64,65,65,63,60,52,39,35,29,27,26,23,19,0,100,Wednesday,16,10,0,NORTHBOUND,3
69,68,72,70,69,71,71,71,67,69,73,74,71,70,69,68,67,69,70,69,67,69,70,70,70,68,66,63,65,70,68,68,71,72,69,73,67,66,67,68,69,70,66,65,67,69,66,66,67,33,Sunday,0,15,PAST,NORTHBOUND,1
65,66,67,69,69,71,71,70,69,69,70,71,72,71,69,67,67,70,71,70,67,67,69,70,71,68,67,68,66,71,67,68,73,71,66,72,66,66,64,65,70,66,66,68,69,69,66,67,0,100,Sunday,0,15,0,NORTHBOUND,1
67,69,68,72,71,68,69,69,70,70,69,70,70,68,67,68,70,73,71,67,66,68,69,68,69,67,66,68,68,75,68,67,72,71,68,71,64,67,67,71,68,65,67,70,71,70,68,68,0,100,Sunday,0,15,0,NORTHBOUND,1
