,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,percentage_closed_lane,percentage_opened_lane,dow,hour,mins,position,direction,duration_level
10,71,69,69,72,73,69,67,72,72,73,78,72,71,71,72,76,72,74,78,76,71,71,70,69,69,72,70,73,71,74,74,71,71,71,74,71,73,74,72,71,71,70,72,74,72,74,73,71,0,100,Wednesday,15,35,0,NORTHBOUND,0
11,65,66,67,65,64,61,67,68,68,65,67,68,67,68,66,66,65,67,67,67,69,68,68,69,69,67,69,71,70,68,68,67,66,68,67,68,69,66,66,68,66,68,68,67,63,68,68,67,0,100,Wednesday,17,30,AT,EASTBOUND,0
12,17,64,64,68,68,67,64,66,65,62,63,67,66,62,65,63,64,64,68,68,68,64,68,64,64,64,66,65,66,61,64,64,68,64,70,69,68,68,66,67,68,71,69,71,68,73,71,66,0,100,Friday,7,10,0,EASTBOUND,2
13,61,64,64,66,65,67,64,65,65,62,62,62,65,66,63,64,66,63,64,63,63,64,68,66,67,64,66,67,65,64,64,63,58,57,65,65,66,64,63,62,61,64,58,66,66,66,64,62,0,100,Friday,19,50,0,EASTBOUND,0
14,68,64,65,66,67,69,68,69,68,68,65,66,66,66,66,66,64,66,65,66,63,67,66,66,65,65,66,68,66,67,66,67,67,65,66,66,63,66,62,69,66,65,67,68,66,71,67,68,0,100,Friday,19,50,0,EASTBOUND,0
15,62,60,60,62,63,60,62,61,60,61,63,65,62,61,63,64,66,59,59,60,58,60,65,58,61,66,61,65,60,61,63,57,58,61,62,60,58,58,61,61,59,61,64,67,64,63,58,60,33,67,Friday,19,50,AT,WESTBOUND,0
16,62,63,62,65,63,64,63,62,63,62,63,66,63,62,63,63,68,60,59,60,66,65,65,65,64,59,63,65,64,61,62,57,58,61,62,59,58,63,57,65,59,61,64,67,64,63,58,63,33,67,Friday,23,50,AT,WESTBOUND,0
17,58,65,62,65,65,66,62,62,68,62,63,66,63,62,65,64,68,60,61,66,66,65,62,65,64,66,63,65,64,62,67,62,67,61,62,63,58,64,63,65,62,63,68,74,69,67,64,64,0,100,Friday,23,50,0,WESTBOUND,0
18,62,64,64,64,64,64,61,60,62,65,63,62,65,69,68,64,64,64,68,64,68,70,71,64,67,64,64,67,67,64,68,70,63,67,64,64,66,66,65,70,69,66,71,71,68,69,68,69,0,100,Thursday,15,35,0,EASTBOUND,1
19,61,61,61,71,65,67,69,60,62,66,68,67,68,64,68,69,65,64,69,65,68,70,71,64,67,69,70,72,67,64,66,72,72,66,68,69,68,66,68,71,69,71,71,71,72,73,68,76,0,100,Thursday,15,35,0,SOUTHBOUND,1
20,68,69,69,73,76,70,69,70,69,69,68,67,71,70,68,69,72,69,70,70,71,70,72,73,71,72,73,73,74,70,72,72,72,73,71,70,70,70,71,70,70,75,73,73,70,73,72,74,60,40,Thursday,15,45,PAST,SOUTHBOUND,1
21,70,69,72,69,76,71,69,68,71,69,71,68,68,69,68,69,69,69,67,70,71,70,73,73,71,72,73,73,70,70,72,72,72,69,69,71,72,72,73,74,72,71,71,71,70,72,73,71,0,100,Thursday,15,45,0,SOUTHBOUND,1
22,69,69,72,69,66,67,66,67,68,65,68,69,68,69,68,69,69,69,67,69,70,66,69,69,69,70,71,73,66,68,68,68,69,69,70,67,70,68,69,73,69,71,71,71,69,69,70,70,0,100,Thursday,15,45,0,SOUTHBOUND,1
23,71,69,71,72,73,67,69,72,72,70,71,71,70,71,73,74,72,71,70,71,72,72,70,76,74,72,70,73,71,71,72,72,72,73,69,71,73,72,71,71,71,71,71,72,72,73,73,70,0,100,Thursday,15,10,0,SOUTHBOUND,1
24,60,64,65,65,68,67,64,62,64,64,64,64,66,62,61,62,64,66,68,64,61,62,63,64,64,64,65,65,61,65,64,66,67,60,62,62,62,60,61,65,62,62,64,67,64,62,64,65,0,100,Thursday,2,10,0,EASTBOUND,2
25,60,61,61,71,59,70,69,65,64,61,62,62,57,65,65,70,66,62,64,64,63,63,63,64,69,70,71,64,62,63,63,64,62,60,64,62,63,61,63,62,60,66,64,59,59,55,56,67,0,100,Thursday,21,25,0,EASTBOUND,2
26,68,69,71,71,72,70,69,67,71,69,74,72,71,76,73,73,75,76,77,76,74,73,76,77,76,73,72,73,75,75,75,28,71,73,73,73,73,73,76,71,72,71,72,72,74,73,75,70,25,75,Saturday,6,40,AT,NORTHBOUND,2
27,72,73,72,70,71,72,73,70,69,69,77,70,71,75,72,72,73,70,73,74,71,73,76,76,74,72,71,73,74,73,71,71,75,75,73,73,74,74,73,76,72,71,72,72,73,73,77,59,0,100,Saturday,9,55,0,NORTHBOUND,2
28,70,69,69,69,69,71,66,66,76,69,72,72,71,71,69,68,72,72,70,68,72,73,75,71,68,70,71,70,72,74,71,72,72,69,71,71,71,72,74,74,72,75,72,71,73,71,73,73,0,100,Sunday,0,15,0,NORTHBOUND,2
29,68,69,69,70,71,66,62,67,69,75,78,74,68,65,64,65,67,70,69,69,65,67,68,69,67,71,70,72,72,71,69,71,72,69,74,71,71,69,74,71,73,72,73,73,75,74,73,74,0,100,Sunday,6,35,0,NORTHBOUND,2
30,68,67,68,71,73,70,71,72,71,71,70,70,72,70,70,70,68,68,68,68,68,68,68,70,72,69,70,68,68,71,71,70,70,68,68,70,70,70,69,68,68,68,68,71,68,69,68,67,0,100,Friday,19,50,0,EASTBOUND,1
31,66,66,66,66,66,66,66,66,67,66,66,66,66,66,66,66,66,66,66,66,68,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,67,68,67,68,67,72,74,0,100,Friday,19,50,0,EASTBOUND,0
32,62,60,57,62,63,60,62,61,60,58,63,65,62,61,63,64,63,59,59,60,58,60,61,58,61,66,61,65,60,61,63,26,58,64,62,60,58,58,61,61,59,61,64,67,64,63,58,63,33,67,Friday,23,50,AT,WESTBOUND,0
33,62,63,61,65,65,64,62,62,63,62,63,66,63,62,63,63,68,60,61,63,66,65,65,65,64,66,63,65,64,62,67,62,67,61,62,59,58,64,66,65,62,61,68,74,69,67,64,64,0,100,Friday,23,50,0,WESTBOUND,0
34,69,74,72,67,66,66,73,69,75,72,69,67,66,76,72,72,73,67,71,71,69,65,68,75,71,73,71,67,68,69,69,68,67,65,70,73,70,74,72,75,74,72,72,73,74,72,91,74,0,100,Friday,12,15,0,NORTHBOUND,0
35,71,71,71,70,76,71,73,70,71,75,73,68,71,75,72,73,72,74,73,73,72,70,72,75,74,72,71,73,73,73,71,72,72,71,70,72,74,74,72,72,72,71,72,71,73,73,72,74,0,100,Friday,12,15,0,NORTHBOUND,0
36,66,67,68,64,74,71,64,72,65,72,71,68,66,69,70,71,70,69,71,68,68,69,68,72,72,73,71,65,72,71,71,70,70,71,70,70,70,68,61,67,65,65,69,74,59,73,74,71,0,100,Friday,7,30,0,SOUTHBOUND,1
37,67,69,68,68,64,64,64,66,67,67,70,68,74,70,68,71,71,69,68,69,68,69,68,70,70,70,71,68,72,71,68,70,71,69,70,69,69,70,69,67,71,70,68,69,69,73,68,66,0,100,Friday,7,30,0,SOUTHBOUND,1
38,71,69,72,70,72,75,76,72,71,75,70,65,72,71,73,77,72,74,69,73,71,72,72,76,74,72,73,76,73,71,72,72,72,69,73,72,74,74,76,72,72,71,72,71,62,73,70,74,0,100,Friday,12,15,0,SOUTHBOUND,1
39,71,71,70,71,72,67,66,69,71,72,71,70,74,69,72,71,72,72,69,70,69,69,72,76,73,72,71,73,72,71,72,72,72,70,73,72,74,72,74,72,72,72,72,73,72,73,73,71,0,100,Friday,12,15,0,SOUTHBOUND,1
40,68,73,69,71,72,68,69,71,71,72,71,71,71,69,70,71,69,68,72,71,70,71,72,70,70,70,70,72,69,68,68,70,72,69,69,67,69,68,67,72,71,71,71,68,67,69,68,66,0,100,Friday,13,5,BEFORE,NORTHBOUND,1
41,63,66,66,66,65,66,67,68,71,70,65,65,72,69,68,65,69,66,65,74,71,69,69,66,67,69,69,71,69,65,68,67,67,69,68,67,67,66,66,66,66,65,64,68,64,68,67,68,0,100,Friday,13,40,0,NORTHBOUND,1
42,60,60,46,59,59,13,59,59,51,44,59,60,9,59,59,59,62,59,61,59,59,70,59,14,26,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,64,74,59,59,59,59,0,100,Thursday,14,55,0,EASTBOUND,2
43,63,64,65,65,59,59,62,63,61,61,60,62,59,63,65,64,66,64,68,62,68,66,64,66,67,64,63,67,59,62,61,63,62,64,63,71,63,61,66,67,65,60,62,66,61,61,62,63,0,100,Thursday,14,55,0,EASTBOUND,2
44,64,59,64,67,66,67,65,65,67,68,65,59,62,63,62,64,66,61,61,60,63,62,61,62,61,61,63,66,66,65,67,67,67,61,64,66,63,67,66,65,63,68,66,65,64,64,64,62,25,75,Thursday,15,10,BEFORE,SOUTHBOUND,2
45,68,66,68,70,70,68,68,69,69,69,67,64,65,66,68,69,68,67,67,66,67,67,67,66,61,69,68,68,66,67,68,69,70,68,69,71,69,72,69,69,69,69,69,68,69,69,69,67,0,100,Thursday,15,10,0,SOUTHBOUND,2
46,67,68,71,69,68,67,66,67,67,67,66,65,65,67,66,66,64,65,66,64,67,67,66,64,68,69,66,67,68,66,68,68,70,67,68,69,70,70,68,68,68,67,67,68,67,67,68,67,0,100,Thursday,15,10,0,SOUTHBOUND,2
47,60,62,65,65,64,64,69,65,64,65,62,61,65,64,63,63,62,61,64,67,69,73,63,62,57,74,70,69,65,64,66,76,67,60,64,63,63,66,61,57,65,65,62,65,64,62,59,59,75,25,Tuesday,0,0,PAST,EASTBOUND,2
48,47,45,59,56,59,58,56,58,61,56,56,59,14,59,62,16,58,59,48,65,63,61,57,14,60,60,57,62,60,60,61,59,52,59,48,49,51,43,35,38,28,54,24,35,50,58,6,61,0,100,Monday,16,45,0,EASTBOUND,2
49,19,66,65,65,64,65,62,65,67,62,58,68,57,60,62,64,58,67,70,65,64,65,64,64,65,65,67,67,65,64,61,64,65,69,70,49,51,43,35,38,23,23,22,44,59,64,62,61,0,100,Monday,16,45,0,WESTBOUND,2
50,73,67,68,65,65,68,65,66,67,67,69,68,67,65,66,68,66,67,70,69,67,65,70,65,70,68,67,68,65,65,68,64,65,66,70,69,70,69,70,69,70,70,69,68,69,68,67,69,33,67,Monday,16,45,PAST,NORTHBOUND,2
51,65,67,68,67,66,64,68,67,67,67,69,69,70,65,66,65,66,67,67,69,68,67,69,69,68,65,67,69,66,65,68,66,65,69,66,70,68,68,69,69,70,70,69,70,69,68,67,69,0,100,Monday,16,45,ON,WESTBOUND,2
52,68,67,68,67,65,66,66,66,59,69,68,64,65,67,66,67,66,67,67,66,68,67,69,65,66,66,65,66,67,65,68,64,65,63,67,66,67,66,67,69,70,69,65,66,64,60,66,70,0,100,Monday,16,45,0,WESTBOUND,2
53,66,66,66,66,65,65,66,66,60,61,62,65,68,63,62,65,64,66,62,64,63,64,65,65,65,65,65,66,66,67,60,64,60,63,60,67,66,66,67,65,64,65,66,66,64,64,65,63,25,75,Monday,15,10,AT,SOUTHBOUND,2
54,68,67,68,71,72,71,71,69,69,69,70,68,72,69,68,67,65,66,68,68,68,68,69,68,68,68,67,68,66,64,67,66,68,68,68,66,66,67,68,70,70,68,69,68,69,70,69,66,25,75,Sunday,17,10,PAST,SOUTHBOUND,1
55,69,68,71,68,71,71,69,69,72,68,69,68,72,70,68,69,69,69,70,72,70,68,69,65,67,68,71,67,70,70,69,70,74,70,70,67,67,66,67,66,66,66,64,64,64,65,66,67,0,100,Sunday,17,20,0,SOUTHBOUND,1
56,68,69,69,71,71,68,69,68,69,70,69,72,68,70,68,69,68,69,68,69,68,68,69,68,67,69,69,68,66,67,67,71,68,68,68,66,67,68,67,70,66,68,69,68,66,68,66,66,0,100,Sunday,17,20,0,SOUTHBOUND,1
57,68,67,67,71,71,68,70,68,70,71,69,70,68,68,69,70,68,67,68,69,70,68,67,69,67,67,69,68,65,68,69,69,68,70,70,69,67,69,69,68,66,68,68,66,68,68,65,66,0,100,Sunday,17,40,TO,SOUTHBOUND,1
58,73,72,72,73,76,74,71,70,71,69,70,70,68,70,72,70,71,74,74,70,71,70,70,74,71,74,71,71,70,73,69,68,67,69,70,72,73,74,72,73,72,71,72,71,72,72,72,74,0,100,Sunday,7,0,0,SOUTHBOUND,1
59,71,71,69,72,76,71,69,72,73,72,71,69,68,71,72,71,71,74,71,73,71,72,74,75,70,69,73,73,73,73,72,73,73,71,70,72,72,74,72,70,73,73,71,73,71,73,72,74,0,100,Sunday,7,0,0,SOUTHBOUND,1
60,61,69,69,69,68,68,71,64,69,66,68,66,69,70,70,71,64,66,69,70,68,68,72,68,66,66,68,66,64,67,67,69,68,64,70,71,73,62,65,61,67,64,71,71,70,72,71,65,60,40,Friday,19,50,PAST,EASTBOUND,0
61,61,60,60,22,63,60,61,31,60,58,63,65,62,59,63,64,63,59,59,61,58,60,56,58,62,56,57,53,60,56,61,60,59,64,61,60,58,58,53,61,57,49,64,67,60,54,61,59,33,67,Friday,12,25,BEFORE,EASTBOUND,0
62,62,63,62,61,63,60,62,61,60,62,62,60,61,62,63,64,63,59,59,61,58,60,58,58,61,59,61,60,60,57,63,58,58,62,61,60,58,58,56,61,55,57,59,58,64,57,56,59,0,100,Friday,23,50,0,EASTBOUND,0
63,64,64,62,65,66,66,62,67,63,67,66,67,63,65,65,64,67,60,61,61,69,65,65,61,64,66,63,61,63,62,63,63,66,65,64,64,66,57,58,62,59,63,71,71,64,66,64,64,0,100,Friday,23,50,0,WESTBOUND,0
64,65,64,65,68,66,66,65,66,65,65,66,66,65,65,65,64,66,63,68,66,69,65,68,75,75,75,75,67,66,69,71,68,70,70,66,65,70,71,68,69,67,68,71,71,64,70,69,68,17,83,Monday,6,55,PAST,NORTHBOUND,0
65,66,70,67,68,75,63,69,65,65,66,67,67,67,58,67,64,63,68,71,69,64,65,67,76,76,76,71,69,73,69,71,68,67,66,67,69,71,70,68,67,70,71,69,69,70,72,69,70,0,100,Monday,6,55,0,NORTHBOUND,0
66,60,64,61,64,64,62,69,70,64,66,64,65,64,64,70,70,64,105,68,65,68,70,63,64,69,68,67,64,66,68,65,66,68,67,64,65,63,64,65,61,68,61,56,56,56,62,64,58,0,100,Sunday,10,25,0,EASTBOUND,2
67,61,64,65,64,65,64,73,65,64,66,64,65,64,64,70,70,64,70,70,61,70,70,67,64,65,65,65,65,65,64,64,66,60,30,64,64,65,64,63,63,62,61,59,66,66,64,64,62,0,100,Thursday,15,25,0,EASTBOUND,2
68,61,64,65,66,65,65,66,67,67,66,65,63,65,64,70,66,64,65,69,64,62,63,63,64,64,65,65,66,64,64,64,66,67,64,64,66,65,64,63,57,62,61,59,62,62,64,64,64,0,100,Thursday,15,25,0,EASTBOUND,2
69,68,70,70,69,69,70,70,68,73,69,68,70,69,69,70,71,71,69,68,69,67,70,70,70,71,72,71,71,71,70,70,69,70,71,69,70,70,70,72,69,69,70,71,70,69,70,72,70,0,100,Thursday,15,45,PAST,NORTHBOUND,2
70,68,69,71,69,69,72,69,62,69,70,70,69,68,72,73,68,72,66,70,71,69,71,70,68,68,69,69,69,71,73,72,66,71,69,71,71,73,69,70,67,70,69,72,71,70,71,71,70,0,100,Thursday,15,45,0,EASTBOUND,2
71,66,62,65,71,72,70,69,65,69,69,70,68,67,70,68,68,69,69,70,71,69,71,72,68,69,69,67,68,71,71,71,72,72,71,68,71,72,69,70,73,70,69,69,71,70,68,72,70,0,100,Thursday,15,45,0,EASTBOUND,2
72,68,68,68,68,68,68,71,66,69,68,68,68,69,69,68,68,68,66,68,70,69,68,67,68,68,68,68,68,66,71,68,69,66,64,70,71,68,69,69,67,70,70,68,71,70,71,69,67,0,100,Friday,7,10,0,WESTBOUND,2
73,68,68,71,69,71,67,65,65,67,67,66,65,65,67,68,66,71,68,66,68,68,69,68,68,68,66,66,65,71,66,68,66,68,65,67,71,68,67,68,68,70,70,69,68,68,67,68,67,0,100,Friday,7,30,0,WESTBOUND,2
74,68,67,69,70,65,67,66,72,67,67,70,68,65,67,68,66,66,63,66,69,68,69,68,68,68,69,67,70,68,69,68,71,68,68,70,71,68,67,69,67,70,70,69,68,69,70,68,67,0,100,Friday,7,10,0,WESTBOUND,2
75,65,68,68,69,74,64,64,70,67,67,66,65,73,69,68,71,72,69,71,71,70,69,72,73,71,68,74,70,74,70,69,72,72,73,73,72,69,72,72,69,70,70,69,69,71,72,70,74,0,100,Friday,12,15,0,WESTBOUND,2
76,71,71,72,74,76,64,71,72,73,75,70,72,72,71,73,71,72,74,74,73,71,72,72,74,71,69,73,73,73,73,72,73,72,69,70,72,72,74,72,73,73,70,71,71,71,72,72,74,0,100,Friday,12,15,0,NORTHBOUND,2
77,71,71,72,74,76,73,71,72,73,72,71,69,74,70,72,71,71,74,74,73,72,70,72,74,74,69,73,73,73,73,73,73,72,69,70,72,72,74,72,73,72,50,71,71,71,72,72,74,0,100,Friday,12,15,0,SOUTHBOUND,2
78,60,59,61,63,64,62,59,59,62,64,63,64,64,64,65,64,61,64,62,55,61,63,59,64,65,63,62,61,62,59,61,63,60,60,62,63,61,61,57,60,60,59,64,59,62,62,62,63,0,100,Monday,21,55,0,EASTBOUND,2
79,64,61,63,67,66,67,65,65,67,64,64,66,65,65,65,66,65,63,64,64,67,65,63,64,67,65,67,61,65,65,66,67,67,64,70,69,70,66,64,63,69,69,67,64,65,62,65,66,0,100,Monday,15,25,0,EASTBOUND,2
80,63,61,63,64,64,66,64,66,64,65,65,63,65,65,65,66,66,63,65,64,67,64,63,66,65,65,65,66,65,64,66,67,70,68,67,66,65,66,64,66,69,69,66,68,67,65,67,65,0,100,Monday,15,25,0,EASTBOUND,2
81,62,62,60,60,64,62,61,60,60,62,63,65,65,64,66,65,64,63,66,61,65,65,63,63,64,64,65,61,63,58,66,66,65,63,64,62,65,66,63,64,66,65,62,62,62,64,64,59,0,100,Monday,15,25,0,EASTBOUND,2
82,60,61,65,65,65,62,69,62,61,66,62,63,64,62,61,58,64,61,64,64,61,63,63,64,62,64,65,65,62,61,62,66,62,60,62,62,67,64,63,61,62,61,59,60,62,60,63,62,0,100,Monday,15,25,0,EASTBOUND,2
83,62,61,60,58,64,66,62,62,61,61,62,59,60,62,62,62,58,63,60,63,64,62,63,64,64,64,66,65,64,65,64,60,67,60,64,62,67,61,62,66,60,70,64,62,62,64,63,61,67,33,Monday,15,0,PAST,EASTBOUND,2
84,60,64,64,63,64,59,59,59,64,65,63,62,65,64,64,64,63,64,63,62,59,59,59,58,59,62,61,59,60,57,61,63,63,65,59,59,52,57,58,59,59,59,57,58,60,57,64,59,0,100,Friday,23,50,0,WESTBOUND,2
85,65,65,65,67,66,62,62,67,68,67,66,65,65,66,65,64,66,66,64,66,65,65,59,67,68,64,67,65,66,66,66,63,65,65,65,50,71,67,68,67,69,60,65,74,66,71,66,64,0,100,Friday,19,50,0,EASTBOUND,0
86,65,64,64,66,67,65,65,69,64,65,66,66,66,66,66,64,66,65,65,67,65,66,66,64,66,66,66,66,66,66,66,67,66,65,66,66,66,66,66,66,66,67,69,69,68,66,72,74,0,100,Friday,19,50,0,EASTBOUND,0
87,62,60,62,62,63,60,59,61,60,58,63,65,62,61,63,64,63,59,59,60,58,60,14,14,61,59,61,66,60,61,63,57,58,61,61,60,58,58,61,61,59,61,64,67,64,63,58,63,33,67,Friday,23,50,AT,WESTBOUND,0
88,62,63,62,65,65,64,63,62,63,62,60,66,63,62,63,64,68,60,61,63,66,65,65,65,64,66,63,65,64,64,67,62,67,61,62,59,58,63,66,65,62,63,68,74,67,67,64,64,0,100,Friday,23,50,0,WESTBOUND,0
89,71,64,65,67,66,66,64,69,64,64,65,67,65,63,65,64,66,63,64,66,69,69,68,67,67,68,66,65,66,64,67,63,67,65,65,64,66,67,67,66,63,65,70,71,64,71,64,64,0,100,Friday,23,50,0,WESTBOUND,0
90,60,61,59,56,55,56,56,59,58,37,59,59,14,62,65,64,58,66,64,65,64,61,64,64,63,67,66,66,64,65,64,67,67,69,70,68,63,67,66,67,67,72,69,67,62,62,62,71,33,67,Monday,16,45,AT,WESTBOUND,2
91,62,61,62,65,58,56,56,61,61,62,58,59,61,60,63,64,58,67,64,67,64,65,64,64,65,67,67,67,65,65,61,64,63,69,70,67,66,66,70,65,65,70,66,66,69,68,67,65,0,100,Monday,16,45,0,WESTBOUND,2
92,66,62,68,69,66,68,65,65,67,68,69,68,67,66,66,66,66,69,67,67,68,65,69,69,68,68,67,68,70,68,68,66,67,69,69,69,70,70,69,69,70,70,69,70,69,68,69,69,0,100,Monday,16,45,0,WESTBOUND,2
93,72,55,52,67,73,64,64,66,67,69,68,66,67,68,67,67,70,67,70,68,66,69,67,65,70,66,62,65,70,66,68,64,65,63,64,64,66,65,72,68,70,68,63,63,64,62,60,60,33,67,Saturday,1,50,PAST,WESTBOUND,2
94,66,63,62,66,66,66,65,66,67,67,62,64,66,67,68,67,71,69,63,72,66,72,71,68,66,67,65,66,68,69,68,66,65,65,67,66,72,67,71,71,67,69,69,66,65,64,65,68,33,67,Saturday,1,50,AT,EASTBOUND,2
95,64,67,67,65,67,68,69,68,68,64,62,66,12,68,68,64,66,63,64,63,65,73,72,74,69,70,69,66,66,66,68,71,66,65,67,68,69,68,64,71,67,69,69,66,65,64,67,68,0,100,Saturday,1,50,0,EASTBOUND,2
96,62,61,60,59,68,67,62,64,62,62,63,62,9,66,63,64,60,64,64,60,60,62,63,60,61,59,57,60,64,62,63,64,58,61,59,59,58,58,63,62,60,61,59,59,60,64,64,61,0,100,Thursday,21,25,0,EASTBOUND,0
97,68,69,72,69,66,71,67,68,67,68,68,69,69,70,68,69,71,69,68,69,67,70,72,70,71,71,71,69,69,70,69,69,70,69,70,70,70,70,72,65,69,70,69,71,69,70,67,70,0,100,Thursday,15,45,0,NORTHBOUND,0
98,69,70,69,72,70,69,71,71,79,70,69,69,71,70,73,71,71,69,71,73,71,70,71,68,66,72,73,73,71,73,70,69,72,69,71,72,72,71,69,65,69,69,69,73,71,71,72,70,0,100,Thursday,15,45,0,EASTBOUND,0
99,73,71,72,71,71,69,69,69,71,72,71,70,67,70,73,71,72,72,69,70,72,72,71,72,71,72,70,73,71,73,72,72,71,70,69,71,73,72,72,70,69,69,69,73,71,71,72,71,0,100,Thursday,15,55,0,EASTBOUND,0
100,73,71,68,71,72,62,69,67,73,76,68,68,69,68,69,68,66,66,68,75,72,71,73,73,71,72,73,69,68,68,71,72,72,69,74,73,70,71,70,74,76,69,67,72,73,70,71,72,20,80,Tuesday,6,40,BEFORE,NORTHBOUND,0
101,72,69,66,68,67,62,69,70,73,76,68,67,68,70,66,67,66,65,69,74,72,71,72,72,71,72,72,68,68,70,70,71,73,70,71,71,68,68,69,71,71,68,67,69,69,70,70,69,0,100,Tuesday,6,40,0,NORTHBOUND,0
102,68,67,68,71,73,72,71,72,71,71,70,68,69,70,70,70,72,71,70,71,70,71,72,73,71,72,71,70,71,71,72,72,72,71,71,71,72,73,72,70,70,71,72,71,71,72,72,72,0,100,Friday,12,15,0,SOUTHBOUND,1
103,71,71,71,71,72,71,71,72,73,72,71,71,70,69,70,71,72,72,72,68,70,68,70,70,71,70,71,73,71,71,72,72,71,70,69,70,73,72,72,68,71,70,71,70,71,72,72,73,0,100,Friday,12,15,0,SOUTHBOUND,1
104,71,73,72,71,72,71,71,72,71,72,71,71,71,71,70,71,69,69,72,71,70,68,68,70,71,70,71,70,69,72,72,69,71,70,69,67,68,67,67,68,68,69,71,68,67,67,66,66,0,100,Friday,13,5,BEFORE,NORTHBOUND,1
105,73,72,69,68,63,66,68,65,70,70,70,71,71,70,70,65,69,67,68,71,71,70,70,69,71,69,69,71,67,65,66,67,67,69,68,67,67,67,68,68,66,68,67,68,68,68,66,68,0,100,Friday,13,5,0,NORTHBOUND,1
106,71,71,68,66,67,66,67,68,71,71,70,70,72,70,70,69,71,68,68,69,65,61,69,71,68,69,69,71,68,65,65,70,66,67,67,71,64,67,68,65,66,69,68,68,68,65,66,68,0,100,Friday,13,5,0,NORTHBOUND,1
107,73,71,68,65,66,61,66,68,59,59,61,63,64,54,59,59,61,62,71,62,65,66,61,57,58,58,64,63,60,62,62,61,66,65,65,61,58,62,60,62,64,65,68,67,64,65,66,61,67,33,Monday,2,50,BEFORE,EASTBOUND,1
108,60,59,60,59,59,59,59,59,59,12,59,59,12,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,0,100,Monday,14,55,0,EASTBOUND,2
109,63,64,65,65,59,59,62,63,61,62,60,62,63,63,65,65,63,64,68,62,68,65,59,66,66,64,63,67,59,62,61,63,62,64,63,71,63,61,66,67,65,63,69,61,61,61,64,63,0,100,Monday,15,25,0,EASTBOUND,2
